,PassengerGroup,HomePlanet,CryoSleep,Cabin,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,55 Cancri e,PSO J318.5-22,TRAPPIST-1e
144,164,Earth,1.0,G/28/S,17.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,1,0
145,165,Mars,1.0,F/37/P,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
146,167,Mars,1.0,F/35/S,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
147,167,Mars,0.0,F/35/S,27.0,0.0,1365.0,0.0,48.0,22.0,137.0,-1,0,0,1
148,169,Earth,1.0,G/23/P,31.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,1
149,170,Earth,0.0,E/10/S,24.0,0.0,0.0,0.0,0.0,221.0,567.0,-1,0,0,1
150,171,Earth,1.0,G/30/S,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
151,172,Earth,1.0,G/24/P,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
152,173,Earth,0.0,E/11/S,58.0,0.0,0.0,985.0,0.0,5.0,0.0,1,0,0,1
153,174,Earth,0.0,F/38/P,21.0,0.0,287.0,0.0,16.0,115.0,175.0,-1,1,0,0
154,177,Europa,0.0,B/2/S,38.0,0.0,0.0,10346.0,1.0,14970.0,2111.0,-1,0,0,1
155,178,Mars,0.0,D/6/S,38.0,0.0,3414.0,0.0,161.0,28.0,119.0,-1,0,0,1
156,179,Earth,0.0,G/26/P,19.0,0.0,1.0,219.0,673.0,2.0,11.0,1,0,0,1
157,179,Earth,0.0,G/26/P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,1
158,179,Earth,0.0,G/26/P,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
159,181,Earth,0.0,G/27/P,20.0,0.0,0.0,0.0,3.0,299.0,92.0,-1,0,0,1
160,182,Europa,1.0,C/3/P,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
161,183,Earth,0.0,F/36/S,37.0,0.0,17.0,146.0,426.0,0.0,232.0,1,0,0,1
162,186,Earth,0.0,G/28/P,25.0,0.0,62.0,0.0,0.0,0.0,956.0,-1,0,0,1
163,188,Earth,1.0,G/31/S,56.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
164,189,Earth,0.0,E/8/P,49.0,0.0,84.0,3.0,401.0,202.0,98.0,-1,1,0,0
165,190,Earth,1.0,G/32/S,11.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,0,0
166,192,Earth,1.0,G/29/P,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
167,192,Earth,0.0,G/29/P,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,1
168,192,Earth,0.0,G/29/P,39.0,0.0,0.0,0.0,10.0,898.0,0.0,-1,0,0,1
169,193,Mars,1.0,F/41/P,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
170,193,Mars,0.0,F/41/P,23.0,0.0,224.687617481203,0.0,8.0,1072.0,0.0,-1,0,0,1
171,193,Mars,0.0,F/41/P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
172,195,Mars,0.0,F/42/P,39.0,0.0,406.0,0.0,867.0,0.0,0.0,1,0,0,1
173,196,Mars,0.0,D/5/P,25.0,0.0,1052.0,0.0,719.0,0.0,7.0,-1,0,1,0
174,197,Europa,0.0,C/5/P,36.0,0.0,0.0,972.0,0.0,795.0,575.0,-1,0,0,1
175,198,Earth,0.0,G/30/P,52.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
176,199,Earth,1.0,G/33/S,18.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,1
177,200,Earth,1.0,G/31/P,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
178,201,Europa,1.0,B/3/S,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
179,201,Europa,1.0,B/3/S,47.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
180,202,Europa,1.0,B/9/P,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0
181,202,Europa,0.0,A/2/P,28.82793046746535,0.0,0.0,2433.0,173.72916912197996,878.0,443.0,1,1,0,0
182,203,Europa,1.0,C/8/S,51.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
183,205,Earth,0.0,G/34/S,29.0,0.0,0.0,2.0,66.0,0.0,705.0,-1,0,0,1
184,206,Europa,0.0,C/9/S,28.82793046746535,0.0,2.0,1720.0,12.0,1125.0,122.0,1,1,0,0
185,207,Earth,1.0,G/32/P,19.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,1,0
186,210,Earth,1.0,D/6/P,24.0,0.0,0.0,0.0,173.72916912197996,0.0,0.0,1,1,0,0
187,211,Mars,0.0,F/44/P,29.0,0.0,902.0,1.0,137.0,0.0,0.0,1,0,0,1
188,211,Mars,1.0,F/44/P,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
189,211,Mars,0.0,F/44/P,17.0,0.0,848.0,0.0,307.0,182.0,0.0,-1,0,0,1
190,212,Earth,0.0,E/9/P,13.0,0.0,192.0,0.0,0.0,51.0,739.0,-1,0,0,1
191,212,Earth,0.0,F/45/P,35.0,0.0,147.0,188.0,0.0,10.0,387.0,-1,0,0,1
192,213,Earth,0.0,F/46/P,21.0,0.0,367.0,281.0,0.0,0.0,146.0,-1,0,0,1
193,216,Earth,0.0,F/40/S,21.0,0.0,0.0,56.0,0.0,0.0,1918.0,-1,1,0,0
194,217,Earth,0.0,F/47/P,38.0,0.0,1517.0,0.0,0.0,27.0,0.0,-1,0,0,1
195,219,Earth,1.0,G/36/P,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
196,220,Earth,1.0,G/37/P,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
197,220,Earth,0.0,G/37/P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
198,220,Earth,1.0,G/37/P,13.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,1
199,220,Earth,0.0,E/10/P,25.0,0.0,122.0,84.0,173.72916912197996,0.0,0.0,-1,0,0,1
200,220,Earth,0.0,F/48/P,16.0,0.0,0.0,3.0,0.0,0.0,1099.0,-1,0,0,1
201,220,Earth,0.0,G/37/P,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,0,0
202,220,Earth,1.0,G/37/P,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
203,221,Mars,0.0,E/13/S,21.0,0.0,2237.0,0.0,119.0,0.0,0.0,-1,1,0,0
204,221,Mars,0.0,E/13/S,23.0,0.0,1215.0,80.0,1.0,2.0,0.0,-1,0,0,1
205,221,Mars,0.0,E/13/S,33.0,0.0,1933.0,12.0,188.0,1.0,0.0,-1,0,0,1
206,221,Mars,1.0,E/13/S,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
207,221,Mars,0.0,E/13/S,41.0,0.0,1230.0,0.0,301.0,43.0,1023.0,-1,0,0,1
208,221,Mars,0.0,E/13/S,16.0,0.0,915.0,0.0,221.0,234.0,0.0,-1,0,0,1
209,221,Mars,1.0,E/13/S,42.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,1
210,222,Mars,0.0,F/41/S,20.0,0.0,1406.0,0.0,0.0,11.0,0.0,-1,0,0,1
211,222,Mars,1.0,F/41/S,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
212,222,Mars,1.0,E/14/S,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
213,223,Earth,0.0,G/35/S,21.0,0.0,0.0,2.0,665.0,0.0,9.0,-1,0,0,1
214,224,Mars,0.0,F/42/S,32.0,1.0,181.0,0.0,5.0,1634.0,0.0,-1,0,0,1
215,225,Earth,1.0,G/38/P,58.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
216,229,Earth,0.0,F/43/S,24.0,0.0,4.0,7.0,0.0,713.0,79.0,-1,0,0,1
217,231,Mars,0.0,F/44/S,30.0,0.0,85.0,0.0,1.0,1720.0,0.0,-1,0,0,1
218,232,Earth,1.0,G/36/S,27.0,0.0,0.0,458.0772032902468,0.0,0.0,0.0,-1,0,1,0
219,233,Mars,0.0,F/45/S,32.0,0.0,56.0,0.0,256.0,1438.0,0.0,-1,0,0,1
220,234,Earth,0.0,F/50/P,43.0,0.0,224.687617481203,888.0,0.0,0.0,0.0,-1,0,0,1
221,237,Europa,1.0,B/11/P,42.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
222,239,Mars,0.0,,37.0,0.0,637.0,0.0,0.0,92.0,319.0,-1,0,0,1
223,240,Mars,1.0,F/52/P,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
224,241,Europa,0.0,E/11/P,33.0,0.0,0.0,1249.0,0.0,4812.0,1116.0,-1,1,0,0
225,242,Earth,0.0,F/46/S,18.0,0.0,313.0,1.0,691.0,283.0,0.0,-1,0,0,1
226,243,Earth,1.0,G/37/S,21.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,1
227,244,Mars,1.0,,43.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
228,244,Mars,1.0,F/47/S,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0
229,245,Europa,0.0,C/6/P,46.0,0.0,0.0,3571.0,0.0,0.0,7.0,1,1,0,0
230,245,Europa,0.0,C/6/P,33.0,0.0,0.0,86.0,796.0,584.0,10912.0,-1,0,0,1
231,246,Mars,0.0,D/8/P,21.0,0.0,2947.0,0.0,287.0,27.0,0.0,-1,0,0,1
232,248,Europa,0.0,C/10/S,33.0,0.0,0.0,1.0,0.0,8620.0,1063.0,-1,0,0,1
233,250,Earth,1.0,G/38/S,47.0,0.0,224.687617481203,0.0,0.0,0.0,0.0,-1,0,1,0
234,251,Earth,1.0,C/11/S,54.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0
235,252,Earth,0.0,F/53/P,30.0,0.0,335.0,695.0,541.0,0.0,0.0,-1,0,0,1
236,253,Earth,0.0,G/42/P,29.0,0.0,272.0,615.0,0.0,0.0,1.0,-1,0,0,1
237,254,Earth,0.0,F/54/P,21.0,0.0,702.0,172.0,408.0,2.0,6.0,1,0,0,1
238,255,Europa,1.0,A/3/S,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
239,257,Mars,0.0,F/49/S,21.0,0.0,1664.0,0.0,173.72916912197996,0.0,0.0,-1,1,0,0
240,257,Mars,1.0,F/49/S,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
241,258,Earth,0.0,F/50/S,22.0,0.0,0.0,0.0,313.0,299.0,92.0,-1,0,0,1
242,260,Europa,0.0,E/16/S,26.0,0.0,0.0,4810.0,0.0,981.0,2054.0,-1,0,0,1
243,261,Earth,0.0,F/56/P,26.0,0.0,66.0,29.0,0.0,0.0,803.0,-1,0,0,1
244,263,Earth,1.0,G/43/P,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
245,265,Europa,1.0,D/8/S,39.0,0.0,0.0,0.0,0.0,311.1387779083431,0.0,1,0,0,1
246,267,Earth,0.0,F/51/S,13.0,0.0,118.0,0.0,0.0,754.0,1.0,-1,0,0,1
247,269,Earth,0.0,F/52/S,47.0,0.0,0.0,231.0,592.0,0.0,0.0,1,1,0,0
248,270,Earth,0.0,F/59/P,63.0,0.0,0.0,25.0,128.0,0.0,1240.0,-1,0,0,1
