,PassengerGroup,CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,55 Cancri e,PSO J318.5-22,TRAPPIST-1e,Earth,Europa,Mars,cabinsides,cabindeck,cabinnumber
31,28,0.0,43.0,0.0,1125.0,0.0,136.0,48.0,0.0,-1,0,0,1,0,0,1,0,6,8
32,30,0.0,32.0,0.0,0.0,850.0,81.0,437.0,453.0,-1,0,0,1,1,0,0,1,7,4
33,31,0.0,47.0,0.0,214.0,0.0,1411.0,0.0,1229.0,1,0,0,1,0,0,1,0,6,9
34,31,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,6,9
35,31,0.0,20.0,0.0,224.687617481203,0.0,1750.0,990.0,0.0,1,0,0,1,0,0,1,0,6,9
36,34,1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,1,4,1
37,35,0.0,23.0,0.0,784.0,964.0,0.0,951.0,0.0,-1,1,0,0,0,0,1,0,4,1
38,36,0.0,15.0,0.0,0.0,492.0,48.0,20.0,401.0,-1,1,0,0,1,0,0,1,6,8
39,38,0.0,20.0,0.0,554.0,195.0,0.0,2606.0,0.0,-1,1,0,0,1,0,0,1,6,10
40,39,1.0,30.0,0.0,0.0,0.0,173.72916912197996,0.0,0.0,-1,1,0,0,1,0,0,0,7,1
41,41,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0,7,2
42,43,0.0,45.0,0.0,0.0,164.0,45.0,2511.0,855.0,-1,0,0,1,0,1,0,0,2,3
43,44,1.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,1,1,0,0,0,7,3
44,44,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,0,0,7,3
45,44,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,7,3
46,45,0.0,21.0,0.0,970.0,0.0,180.0,0.0,64.0,-1,0,0,1,0,0,1,0,6,10
47,45,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,6,10
48,50,0.0,35.0,0.0,790.0,0.0,0.0,311.1387779083431,0.0,-1,1,0,0,1,0,0,1,5,1
49,51,0.0,56.0,0.0,0.0,112.0,0.0,1379.0,127.0,-1,0,0,1,1,0,0,1,5,2
50,52,0.0,28.82793046746535,0.0,4.0,0.0,2.0,4683.0,0.0,-1,0,0,1,1,0,0,1,7,6
51,53,0.0,25.0,0.0,0.0,0.0,1938.0,0.0,1.0,1,0,0,1,1,0,0,1,6,11
52,56,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,1,1,1
53,56,1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,1,1,1
54,56,0.0,27.0,0.0,279.0,605.0,3374.0,286.0,3.0,1,0,0,1,0,1,0,1,1,1
55,58,1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,1,0,1,0,0,1,7,7
56,61,0.0,22.0,0.0,45.0,1096.0,148.0,1377.0,1.0,-1,0,0,1,1,0,0,1,6,12
57,62,0.0,62.0,0.0,0.0,592.0,0.0,17.0,25.0,-1,0,0,1,1,0,0,1,6,13
58,64,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,1,6,14
59,64,1.0,33.0,0.0,0.0,0.0,173.72916912197996,0.0,0.0,1,0,0,1,1,0,0,1,5,3
60,66,0.0,62.0,0.0,1.0,153.0,197.0,0.0,460.0,-1,0,0,1,1,0,0,0,7,6
61,67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,1,7,10
62,67,0.0,18.0,0.0,1.0,258.0,446.0,0.0,0.0,1,0,0,1,1,0,0,1,7,10
63,67,0.0,21.0,0.0,1946.0,37.0,0.0,0.0,24.0,-1,1,0,0,1,0,0,1,6,15
64,68,0.0,28.82793046746535,0.0,793.0,0.0,2.0,253.0,0.0,-1,0,0,1,0,0,1,1,5,4
65,69,0.0,42.0,0.0,887.0,0.0,9.0,6.0,0.0,1,0,0,1,1,0,0,1,6,16
66,70,0.0,19.0,0.0,190.0,0.0,5.0,1.0,726.0,-1,0,0,1,1,0,0,0,6,13
67,71,0.0,17.0,0.0,16.0,2165.0,0.0,0.0,52.0,-1,0,0,1,1,0,0,0,6,14
68,72,0.0,14.0,0.0,0.0,1.0,0.0,0.0,1063.0,-1,0,0,1,1,0,0,1,6,17
69,73,0.0,37.0,0.0,46.0,83.0,738.0,0.0,12.0,-1,0,1,0,0,0,1,0,4,3
70,74,0.0,42.0,0.0,1.0,8397.0,0.0,0.0,506.0,1,0,0,1,0,1,0,1,3,3
71,76,0.0,27.0,0.0,147.0,0.0,1018.0,0.0,0.0,1,0,0,1,0,0,1,1,6,18
72,77,0.0,28.0,0.0,14.0,0.0,1295.0,0.0,0.0,1,0,0,1,0,0,1,0,6,15
73,78,0.0,38.0,0.0,0.0,5840.0,0.0,321.0,9654.0,-1,0,0,1,0,1,0,1,3,4
74,81,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,1,1,0,0,1,7,13
75,82,0.0,42.0,0.0,7406.0,0.0,0.0,0.0,0.0,-1,0,0,1,0,0,1,0,6,16
76,82,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,6,16
77,82,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,6,16
78,84,0.0,24.0,0.0,688.0,0.0,0.0,0.0,17.0,1,0,0,1,1,0,0,1,7,14
79,85,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,1,3,5
80,86,0.0,43.0,0.0,211.0,0.0,0.0,638.0,513.0,-1,0,0,1,1,0,0,0,6,17
81,88,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,1,5,5
82,90,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,1,7,15
83,91,1.0,26.0,0.0,224.687617481203,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,1,7,16
84,91,0.0,27.0,0.0,1.0,697.0,31.0,188.0,0.0,-1,0,0,1,1,0,0,1,6,20
85,92,0.0,19.0,0.0,0.0,0.0,670.0,1.0,34.0,-1,0,0,1,1,0,0,0,7,9
86,92,1.0,0.0,0.0,0.0,0.0,173.72916912197996,0.0,0.0,1,0,0,1,1,0,0,0,7,9
87,92,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0,7,9
88,97,0.0,54.0,0.0,0.0,1208.0,0.0,3.0,637.0,-1,0,0,1,0,1,0,1,1,2
89,98,0.0,26.0,0.0,0.0,856.0,5.0,32.0,0.0,-1,0,0,1,1,0,0,0,7,11
90,98,0.0,26.0,0.0,0.0,2811.0,957.0,0.0,87.0,1,0,0,1,1,0,0,0,7,11
91,99,0.0,23.0,0.0,311.0,427.0,526.0,37.0,0.0,-1,0,1,0,1,0,0,0,6,19
92,99,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0,7,12
93,101,1.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,1,6,82
94,102,0.0,18.0,0.0,0.0,0.0,0.0,830.0,91.0,-1,0,0,1,1,0,0,1,6,23
95,103,0.0,24.0,0.0,0.0,458.0772032902468,0.0,0.0,17.0,1,0,0,1,1,0,0,1,6,24
96,103,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,0,1,7,18
97,103,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,1,1,0,0,1,7,18
98,105,0.0,27.0,0.0,0.0,0.0,570.0,2.0,131.0,-1,0,0,1,1,0,0,0,6,21
99,107,0.0,21.0,0.0,1743.0,5.0,17.0,0.0,0.0,-1,0,0,1,0,0,1,1,4,2
100,108,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,1,1,0,0,1,7,19
101,108,0.0,31.0,0.0,562.0,0.0,326.0,0.0,0.0,-1,0,0,1,1,0,0,1,7,19
102,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,1,7,19
103,110,0.0,32.0,0.0,0.0,410.0,6.0,3929.0,764.0,-1,0,0,1,0,1,0,1,6,82
104,110,0.0,40.0,0.0,0.0,331.0,0.0,0.0,1687.0,-1,0,0,1,0,1,0,0,2,5
105,110,0.0,42.0,0.0,2209.0,11418.0,0.0,1868.0,445.0,1,0,0,1,0,1,0,0,2,5
106,110,1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,0,2,5
107,111,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,1,5,6
108,112,0.0,48.0,1.0,0.0,2537.0,87.0,17.0,13.0,1,1,0,0,0,1,0,1,2,1
109,113,0.0,64.0,0.0,0.0,0.0,804.0,0.0,0.0,1,0,0,1,1,0,0,0,6,23
110,114,0.0,27.0,0.0,82.0,157.0,429.0,238.0,1.0,-1,0,0,1,1,0,0,1,7,20
111,115,0.0,26.0,0.0,0.0,0.0,0.0,0.0,304.8547912992357,1,0,0,1,0,0,1,0,6,24
112,116,0.0,33.0,0.0,1.0,2223.0,0.0,12.0,404.0,1,0,0,1,0,1,0,0,4,4
113,119,0.0,39.0,0.0,0.0,2344.0,0.0,65.0,6898.0,-1,0,0,1,1,0,0,0,1,0
114,119,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,0,1,0
115,120,1.0,24.0,0.0,0.0,0.0,0.0,0.0,304.8547912992357,1,0,0,1,0,0,1,0,6,25
116,122,0.0,29.0,0.0,0.0,0.0,0.0,699.0,74.0,-1,0,0,1,1,0,0,1,7,21
117,123,0.0,18.0,0.0,55.0,597.0,49.0,0.0,1.0,-1,0,0,1,1,0,0,0,6,27
118,126,1.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,1,6,27
119,127,0.0,35.0,0.0,701.0,0.0,296.0,0.0,25.0,-1,0,0,1,0,0,1,1,5,7
120,128,0.0,61.0,1.0,2353.0,334.0,9.0,316.0,2.0,-1,0,0,1,0,0,1,1,4,3
121,128,0.0,45.0,0.0,2103.0,6.0,0.0,0.0,0.0,-1,0,0,1,0,0,1,1,5,8
122,129,1.0,22.0,0.0,0.0,0.0,173.72916912197996,0.0,0.0,1,0,1,0,1,0,0,1,7,22
123,133,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,1,6,29
124,133,0.0,36.0,0.0,2738.0,0.0,0.0,0.0,0.0,-1,0,0,1,0,0,1,1,4,5
125,134,0.0,19.0,0.0,0.0,14.0,730.0,0.0,0.0,1,0,0,1,1,0,0,0,7,17
126,136,0.0,47.0,0.0,97.0,418.0,126.0,25.0,55.0,-1,0,1,0,1,0,0,1,7,23
127,138,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0,7,18
128,138,0.0,34.0,0.0,0.0,22.0,0.0,564.0,207.0,-1,0,0,1,1,0,0,0,5,5
129,139,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,1,3,6
130,140,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0,7,19
131,140,0.0,26.0,0.0,440.0,0.0,0.0,0.0,462.0,-1,0,0,1,1,0,0,0,6,29
132,141,0.0,31.0,0.0,224.687617481203,0.0,97.0,0.0,0.0,-1,0,0,1,0,0,1,0,6,30
133,144,0.0,20.0,0.0,0.0,420.0,210.0,0.0,0.0,1,0,0,1,1,0,0,1,6,31
134,146,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,1,1,0,0,1,7,25
135,147,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,1,7,26
136,148,0.0,42.0,0.0,1072.0,0.0,10.0,0.0,76.0,-1,0,0,1,0,0,1,0,6,31
137,149,1.0,28.82793046746535,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,0,1,7,27
138,151,1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,0,0,1,0,0,0,7,20
139,152,0.0,41.0,0.0,0.0,0.0,0.0,0.0,607.0,-1,0,0,1,1,0,0,0,6,32
140,160,0.0,22.0,0.0,4119.0,0.0,0.0,0.0,61.0,-1,0,0,1,1,0,0,0,7,22
141,163,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,0,2,8
142,163,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,0,2,8
143,164,0.0,57.0,0.0,50.0,1688.0,0.0,311.1387779083431,135.0,1,0,0,1,1,0,0,1,7,28
144,164,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,1,0,1,0,0,1,7,28
145,165,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,6,37
146,167,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,1,6,35
147,167,0.0,27.0,0.0,1365.0,0.0,48.0,22.0,137.0,-1,0,0,1,0,0,1,1,6,35
148,169,1.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,1,1,0,0,0,7,23
149,170,0.0,24.0,0.0,0.0,0.0,0.0,221.0,567.0,-1,0,0,1,1,0,0,1,5,10
150,171,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,1,7,30
151,172,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0,7,24
152,173,0.0,58.0,0.0,0.0,985.0,0.0,5.0,0.0,1,0,0,1,1,0,0,1,5,11
153,174,0.0,21.0,0.0,287.0,0.0,16.0,115.0,175.0,-1,1,0,0,1,0,0,0,6,38
154,177,0.0,38.0,0.0,0.0,10346.0,1.0,14970.0,2111.0,-1,0,0,1,0,1,0,1,2,2
155,178,0.0,38.0,0.0,3414.0,0.0,161.0,28.0,119.0,-1,0,0,1,0,0,1,1,4,6
156,179,0.0,19.0,0.0,1.0,219.0,673.0,2.0,11.0,1,0,0,1,1,0,0,0,7,26
157,179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,1,1,0,0,0,7,26
158,179,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0,7,26
159,181,0.0,20.0,0.0,0.0,0.0,3.0,299.0,92.0,-1,0,0,1,1,0,0,0,7,27
160,182,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,0,3,3
161,183,0.0,37.0,0.0,17.0,146.0,426.0,0.0,232.0,1,0,0,1,1,0,0,1,6,36
162,186,0.0,25.0,0.0,62.0,0.0,0.0,0.0,956.0,-1,0,0,1,1,0,0,0,7,28
163,188,1.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,1,7,31
164,189,0.0,49.0,0.0,84.0,3.0,401.0,202.0,98.0,-1,1,0,0,1,0,0,0,5,8
165,190,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,0,0,1,0,0,1,7,32
166,192,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0,7,29
167,192,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,1,1,0,0,0,7,29
168,192,0.0,39.0,0.0,0.0,0.0,10.0,898.0,0.0,-1,0,0,1,1,0,0,0,7,29
169,193,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,6,41
170,193,0.0,23.0,0.0,224.687617481203,0.0,8.0,1072.0,0.0,-1,0,0,1,0,0,1,0,6,41
171,193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,6,41
172,195,0.0,39.0,0.0,406.0,0.0,867.0,0.0,0.0,1,0,0,1,0,0,1,0,6,42
173,196,0.0,25.0,0.0,1052.0,0.0,719.0,0.0,7.0,-1,0,1,0,0,0,1,0,4,5
174,197,0.0,36.0,0.0,0.0,972.0,0.0,795.0,575.0,-1,0,0,1,0,1,0,0,3,5
175,198,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,7,30
176,199,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,1,1,0,0,1,7,33
177,200,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0,7,31
178,201,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,1,2,3
179,201,1.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,1,2,3
180,202,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0,2,9
181,202,0.0,28.82793046746535,0.0,0.0,2433.0,173.72916912197996,878.0,443.0,1,1,0,0,0,1,0,0,1,2
182,203,1.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,1,3,8
183,205,0.0,29.0,0.0,0.0,2.0,66.0,0.0,705.0,-1,0,0,1,1,0,0,1,7,34
184,206,0.0,28.82793046746535,0.0,2.0,1720.0,12.0,1125.0,122.0,1,1,0,0,0,1,0,1,3,9
185,207,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,1,0,1,0,0,0,7,32
186,210,1.0,24.0,0.0,0.0,0.0,173.72916912197996,0.0,0.0,1,1,0,0,1,0,0,0,4,6
187,211,0.0,29.0,0.0,902.0,1.0,137.0,0.0,0.0,1,0,0,1,0,0,1,0,6,44
188,211,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,6,44
189,211,0.0,17.0,0.0,848.0,0.0,307.0,182.0,0.0,-1,0,0,1,0,0,1,0,6,44
190,212,0.0,13.0,0.0,192.0,0.0,0.0,51.0,739.0,-1,0,0,1,1,0,0,0,5,9
191,212,0.0,35.0,0.0,147.0,188.0,0.0,10.0,387.0,-1,0,0,1,1,0,0,0,6,45
192,213,0.0,21.0,0.0,367.0,281.0,0.0,0.0,146.0,-1,0,0,1,1,0,0,0,6,46
193,216,0.0,21.0,0.0,0.0,56.0,0.0,0.0,1918.0,-1,1,0,0,1,0,0,1,6,40
194,217,0.0,38.0,0.0,1517.0,0.0,0.0,27.0,0.0,-1,0,0,1,1,0,0,0,6,47
195,219,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0,7,36
196,220,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0,7,37
197,220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0,7,37
198,220,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,1,1,0,0,0,7,37
199,220,0.0,25.0,0.0,122.0,84.0,173.72916912197996,0.0,0.0,-1,0,0,1,1,0,0,0,5,10
200,220,0.0,16.0,0.0,0.0,3.0,0.0,0.0,1099.0,-1,0,0,1,1,0,0,0,6,48
201,220,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,0,0,1,0,0,0,7,37
202,220,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,0,0,0,7,37
203,221,0.0,21.0,0.0,2237.0,0.0,119.0,0.0,0.0,-1,1,0,0,0,0,1,1,5,13
204,221,0.0,23.0,0.0,1215.0,80.0,1.0,2.0,0.0,-1,0,0,1,0,0,1,1,5,13
205,221,0.0,33.0,0.0,1933.0,12.0,188.0,1.0,0.0,-1,0,0,1,0,0,1,1,5,13
206,221,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,1,5,13
207,221,0.0,41.0,0.0,1230.0,0.0,301.0,43.0,1023.0,-1,0,0,1,0,0,1,1,5,13
208,221,0.0,16.0,0.0,915.0,0.0,221.0,234.0,0.0,-1,0,0,1,0,0,1,1,5,13
209,221,1.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,1,0,0,1,1,5,13
210,222,0.0,20.0,0.0,1406.0,0.0,0.0,11.0,0.0,-1,0,0,1,0,0,1,1,6,41
211,222,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,1,6,41
212,222,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,1,5,14
213,223,0.0,21.0,0.0,0.0,2.0,665.0,0.0,9.0,-1,0,0,1,1,0,0,1,7,35
214,224,0.0,32.0,1.0,181.0,0.0,5.0,1634.0,0.0,-1,0,0,1,0,0,1,1,6,42
215,225,1.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,7,38
216,229,0.0,24.0,0.0,4.0,7.0,0.0,713.0,79.0,-1,0,0,1,1,0,0,1,6,43
217,231,0.0,30.0,0.0,85.0,0.0,1.0,1720.0,0.0,-1,0,0,1,0,0,1,1,6,44
218,232,1.0,27.0,0.0,0.0,458.0772032902468,0.0,0.0,0.0,-1,0,1,0,1,0,0,1,7,36
219,233,0.0,32.0,0.0,56.0,0.0,256.0,1438.0,0.0,-1,0,0,1,0,0,1,1,6,45
220,234,0.0,43.0,0.0,224.687617481203,888.0,0.0,0.0,0.0,-1,0,0,1,1,0,0,0,6,50
221,237,1.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,0,2,11
222,239,0.0,37.0,0.0,637.0,0.0,0.0,92.0,319.0,-1,0,0,1,0,0,1,1,6,82
223,240,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,6,52
224,241,0.0,33.0,0.0,0.0,1249.0,0.0,4812.0,1116.0,-1,1,0,0,0,1,0,0,5,11
225,242,0.0,18.0,0.0,313.0,1.0,691.0,283.0,0.0,-1,0,0,1,1,0,0,1,6,46
226,243,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,1,1,0,0,1,7,37
227,244,1.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,1,6,82
228,244,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,6,47
229,245,0.0,46.0,0.0,0.0,3571.0,0.0,0.0,7.0,1,1,0,0,0,1,0,0,3,6
230,245,0.0,33.0,0.0,0.0,86.0,796.0,584.0,10912.0,-1,0,0,1,0,1,0,0,3,6
231,246,0.0,21.0,0.0,2947.0,0.0,287.0,27.0,0.0,-1,0,0,1,0,0,1,0,4,8
232,248,0.0,33.0,0.0,0.0,1.0,0.0,8620.0,1063.0,-1,0,0,1,0,1,0,1,3,10
233,250,1.0,47.0,0.0,224.687617481203,0.0,0.0,0.0,0.0,-1,0,1,0,1,0,0,1,7,38
234,251,1.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,0,1,3,11
235,252,0.0,30.0,0.0,335.0,695.0,541.0,0.0,0.0,-1,0,0,1,1,0,0,0,6,53
236,253,0.0,29.0,0.0,272.0,615.0,0.0,0.0,1.0,-1,0,0,1,1,0,0,0,7,42
237,254,0.0,21.0,0.0,702.0,172.0,408.0,2.0,6.0,1,0,0,1,1,0,0,0,6,54
238,255,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,1,1,3
239,257,0.0,21.0,0.0,1664.0,0.0,173.72916912197996,0.0,0.0,-1,1,0,0,0,0,1,1,6,49
