,PassengerGroup,CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Destination: 55 Cancri e,Destination: PSO J318.5-22,Destination: TRAPPIST-1e,HomePlanet: Earth,HomePlanet: Europa,HomePlanet: Mars,CabinSide: Starboard,CabinDeck,CabinNumber,Transported
78,84,0.0,24.0,0.0,688.0,0.0,0.0,0.0,17.0,0,0,1,1,0,0,1,7,14,1
79,85,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,1,3,5,1
80,86,0.0,43.0,0.0,211.0,0.0,0.0,638.0,513.0,0,0,1,1,0,0,0,6,17,-1
81,88,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,1,5,5,1
82,90,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,1,7,15,1
84,91,0.0,27.0,0.0,1.0,697.0,31.0,188.0,0.0,0,0,1,1,0,0,1,6,20,-1
85,92,0.0,19.0,0.0,0.0,0.0,670.0,1.0,34.0,0,0,1,1,0,0,0,7,9,-1
87,92,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,7,9,1
88,97,0.0,54.0,0.0,0.0,1208.0,0.0,3.0,637.0,0,0,1,0,1,0,1,1,2,-1
89,98,0.0,26.0,0.0,0.0,856.0,5.0,32.0,0.0,0,0,1,1,0,0,0,7,11,-1
90,98,0.0,26.0,0.0,0.0,2811.0,957.0,0.0,87.0,0,0,1,1,0,0,0,7,11,1
91,99,0.0,23.0,0.0,311.0,427.0,526.0,37.0,0.0,0,1,0,1,0,0,0,6,19,-1
94,102,0.0,18.0,0.0,0.0,0.0,0.0,830.0,91.0,0,0,1,1,0,0,1,6,23,-1
96,103,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,7,18,1
97,103,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,1,7,18,-1
99,107,0.0,21.0,0.0,1743.0,5.0,17.0,0.0,0.0,0,0,1,0,0,1,1,4,2,-1
100,108,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,1,7,19,-1
101,108,0.0,31.0,0.0,562.0,0.0,326.0,0.0,0.0,0,0,1,1,0,0,1,7,19,-1
105,110,0.0,42.0,0.0,2209.0,11418.0,0.0,1868.0,445.0,0,0,1,0,1,0,0,2,5,1
106,110,1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,2,5,1
107,111,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,1,5,6,1
108,112,0.0,48.0,1.0,0.0,2537.0,87.0,17.0,13.0,1,0,0,0,1,0,1,2,1,1
109,113,0.0,64.0,0.0,0.0,0.0,804.0,0.0,0.0,0,0,1,1,0,0,0,6,23,1
110,114,0.0,27.0,0.0,82.0,157.0,429.0,238.0,1.0,0,0,1,1,0,0,1,7,20,-1
112,116,0.0,33.0,0.0,1.0,2223.0,0.0,12.0,404.0,0,0,1,0,1,0,0,4,4,1
114,119,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,1,0,1
116,122,0.0,29.0,0.0,0.0,0.0,0.0,699.0,74.0,0,0,1,1,0,0,1,7,21,-1
117,123,0.0,18.0,0.0,55.0,597.0,49.0,0.0,1.0,0,0,1,1,0,0,0,6,27,-1
118,126,1.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,1,6,27,1
119,127,0.0,35.0,0.0,701.0,0.0,296.0,0.0,25.0,0,0,1,0,0,1,1,5,7,-1
120,128,0.0,61.0,1.0,2353.0,334.0,9.0,316.0,2.0,0,0,1,0,0,1,1,4,3,-1
121,128,0.0,45.0,0.0,2103.0,6.0,0.0,0.0,0.0,0,0,1,0,0,1,1,5,8,-1
123,133,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,1,6,29,1
124,133,0.0,36.0,0.0,2738.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,1,4,5,-1
125,134,0.0,19.0,0.0,0.0,14.0,730.0,0.0,0.0,0,0,1,1,0,0,0,7,17,1
126,136,0.0,47.0,0.0,97.0,418.0,126.0,25.0,55.0,0,1,0,1,0,0,1,7,23,-1
127,138,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,7,18,1
129,139,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,1,3,6,1
130,140,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,7,19,1
131,140,0.0,26.0,0.0,440.0,0.0,0.0,0.0,462.0,0,0,1,1,0,0,0,6,29,-1
133,144,0.0,20.0,0.0,0.0,420.0,210.0,0.0,0.0,0,0,1,1,0,0,1,6,31,1
134,146,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,1,7,25,-1
135,147,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,1,7,26,1
136,148,0.0,42.0,0.0,1072.0,0.0,10.0,0.0,76.0,0,0,1,0,0,1,0,6,31,-1
138,151,1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,7,20,-1
140,160,0.0,22.0,0.0,4119.0,0.0,0.0,0.0,61.0,0,0,1,1,0,0,0,7,22,-1
141,163,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,2,8,1
142,163,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,2,8,1
144,164,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,7,28,-1
146,167,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,1,6,35,1
147,167,0.0,27.0,0.0,1365.0,0.0,48.0,22.0,137.0,0,0,1,0,0,1,1,6,35,-1
148,169,1.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,7,23,-1
149,170,0.0,24.0,0.0,0.0,0.0,0.0,221.0,567.0,0,0,1,1,0,0,1,5,10,-1
150,171,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,7,30,1
151,172,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,7,24,1
153,174,0.0,21.0,0.0,287.0,0.0,16.0,115.0,175.0,1,0,0,1,0,0,0,6,38,-1
154,177,0.0,38.0,0.0,0.0,10346.0,1.0,14970.0,2111.0,0,0,1,0,1,0,1,2,2,-1
155,178,0.0,38.0,0.0,3414.0,0.0,161.0,28.0,119.0,0,0,1,0,0,1,1,4,6,-1
156,179,0.0,19.0,0.0,1.0,219.0,673.0,2.0,11.0,0,0,1,1,0,0,0,7,26,1
157,179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,7,26,-1
158,179,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,7,26,1
159,181,0.0,20.0,0.0,0.0,0.0,3.0,299.0,92.0,0,0,1,1,0,0,0,7,27,-1
160,182,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,3,3,1
161,183,0.0,37.0,0.0,17.0,146.0,426.0,0.0,232.0,0,0,1,1,0,0,1,6,36,1
162,186,0.0,25.0,0.0,62.0,0.0,0.0,0.0,956.0,0,0,1,1,0,0,0,7,28,-1
163,188,1.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,1,7,31,1
164,189,0.0,49.0,0.0,84.0,3.0,401.0,202.0,98.0,1,0,0,1,0,0,0,5,8,-1
165,190,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,7,32,-1
166,192,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,7,29,1
167,192,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,7,29,-1
168,192,0.0,39.0,0.0,0.0,0.0,10.0,898.0,0.0,0,0,1,1,0,0,0,7,29,-1
169,193,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,6,41,1
171,193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,6,41,1
172,195,0.0,39.0,0.0,406.0,0.0,867.0,0.0,0.0,0,0,1,0,0,1,0,6,42,1
173,196,0.0,25.0,0.0,1052.0,0.0,719.0,0.0,7.0,0,1,0,0,0,1,0,4,5,-1
174,197,0.0,36.0,0.0,0.0,972.0,0.0,795.0,575.0,0,0,1,0,1,0,0,3,5,-1
176,199,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,1,7,33,-1
177,200,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,7,31,1
178,201,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,1,2,3,1
179,201,1.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,1,2,3,1
180,202,1.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,2,9,1
182,203,1.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,1,3,8,1
183,205,0.0,29.0,0.0,0.0,2.0,66.0,0.0,705.0,0,0,1,1,0,0,1,7,34,-1
185,207,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,7,32,-1
187,211,0.0,29.0,0.0,902.0,1.0,137.0,0.0,0.0,0,0,1,0,0,1,0,6,44,1
188,211,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,6,44,1
189,211,0.0,17.0,0.0,848.0,0.0,307.0,182.0,0.0,0,0,1,0,0,1,0,6,44,-1
190,212,0.0,13.0,0.0,192.0,0.0,0.0,51.0,739.0,0,0,1,1,0,0,0,5,9,-1
191,212,0.0,35.0,0.0,147.0,188.0,0.0,10.0,387.0,0,0,1,1,0,0,0,6,45,-1
192,213,0.0,21.0,0.0,367.0,281.0,0.0,0.0,146.0,0,0,1,1,0,0,0,6,46,-1
193,216,0.0,21.0,0.0,0.0,56.0,0.0,0.0,1918.0,1,0,0,1,0,0,1,6,40,-1
194,217,0.0,38.0,0.0,1517.0,0.0,0.0,27.0,0.0,0,0,1,1,0,0,0,6,47,-1
195,219,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,7,36,1
196,220,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,7,37,1
197,220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,7,37,1
198,220,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,7,37,-1
200,220,0.0,16.0,0.0,0.0,3.0,0.0,0.0,1099.0,0,0,1,1,0,0,0,6,48,-1
201,220,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,7,37,-1
202,220,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,7,37,1
203,221,0.0,21.0,0.0,2237.0,0.0,119.0,0.0,0.0,1,0,0,0,0,1,1,5,13,-1
204,221,0.0,23.0,0.0,1215.0,80.0,1.0,2.0,0.0,0,0,1,0,0,1,1,5,13,-1
205,221,0.0,33.0,0.0,1933.0,12.0,188.0,1.0,0.0,0,0,1,0,0,1,1,5,13,-1
206,221,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,1,5,13,1
207,221,0.0,41.0,0.0,1230.0,0.0,301.0,43.0,1023.0,0,0,1,0,0,1,1,5,13,-1
208,221,0.0,16.0,0.0,915.0,0.0,221.0,234.0,0.0,0,0,1,0,0,1,1,5,13,-1
209,221,1.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,1,5,13,-1
210,222,0.0,20.0,0.0,1406.0,0.0,0.0,11.0,0.0,0,0,1,0,0,1,1,6,41,-1
211,222,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,1,6,41,1
212,222,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,1,5,14,1
213,223,0.0,21.0,0.0,0.0,2.0,665.0,0.0,9.0,0,0,1,1,0,0,1,7,35,-1
214,224,0.0,32.0,1.0,181.0,0.0,5.0,1634.0,0.0,0,0,1,0,0,1,1,6,42,-1
215,225,1.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,7,38,1
216,229,0.0,24.0,0.0,4.0,7.0,0.0,713.0,79.0,0,0,1,1,0,0,1,6,43,-1
217,231,0.0,30.0,0.0,85.0,0.0,1.0,1720.0,0.0,0,0,1,0,0,1,1,6,44,-1
219,233,0.0,32.0,0.0,56.0,0.0,256.0,1438.0,0.0,0,0,1,0,0,1,1,6,45,-1
221,237,1.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,2,11,1
223,240,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,6,52,1
226,243,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,1,7,37,-1
229,245,0.0,46.0,0.0,0.0,3571.0,0.0,0.0,7.0,1,0,0,0,1,0,0,3,6,1
230,245,0.0,33.0,0.0,0.0,86.0,796.0,584.0,10912.0,0,0,1,0,1,0,0,3,6,-1
231,246,0.0,21.0,0.0,2947.0,0.0,287.0,27.0,0.0,0,0,1,0,0,1,0,4,8,-1
232,248,0.0,33.0,0.0,0.0,1.0,0.0,8620.0,1063.0,0,0,1,0,1,0,1,3,10,-1
235,252,0.0,30.0,0.0,335.0,695.0,541.0,0.0,0.0,0,0,1,1,0,0,0,6,53,-1
236,253,0.0,29.0,0.0,272.0,615.0,0.0,0.0,1.0,0,0,1,1,0,0,0,7,42,-1
237,254,0.0,21.0,0.0,702.0,172.0,408.0,2.0,6.0,0,0,1,1,0,0,0,6,54,1
238,255,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,1,1,3,1
240,257,1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,1,6,49,1
241,258,0.0,22.0,0.0,0.0,0.0,313.0,299.0,92.0,0,0,1,1,0,0,1,6,50,-1
242,260,0.0,26.0,0.0,0.0,4810.0,0.0,981.0,2054.0,0,0,1,0,1,0,1,5,16,-1
243,261,0.0,26.0,0.0,66.0,29.0,0.0,0.0,803.0,0,0,1,1,0,0,0,6,56,-1
244,263,1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,7,43,1
246,267,0.0,13.0,0.0,118.0,0.0,0.0,754.0,1.0,0,0,1,1,0,0,1,6,51,-1
247,269,0.0,47.0,0.0,0.0,231.0,592.0,0.0,0.0,1,0,0,1,0,0,1,6,52,1
248,270,0.0,63.0,0.0,0.0,25.0,128.0,0.0,1240.0,0,0,1,1,0,0,0,6,59,-1
250,277,0.0,50.0,0.0,44.0,2390.0,0.0,53.0,0.0,1,0,0,1,0,0,0,6,61,1
252,278,0.0,45.0,0.0,0.0,97.0,0.0,14.0,333.0,0,0,1,1,0,0,0,7,45,-1
253,281,0.0,19.0,0.0,0.0,0.0,2078.0,0.0,0.0,0,0,1,1,0,0,0,6,63,1
254,282,0.0,21.0,0.0,0.0,918.0,0.0,0.0,0.0,0,0,1,1,0,0,1,6,54,1
255,283,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,7,46,1
256,283,0.0,22.0,0.0,146.0,654.0,1.0,0.0,2.0,0,0,1,1,0,0,0,6,64,1
257,285,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,5,16,1
258,285,1.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,5,16,1
259,286,0.0,57.0,0.0,3.0,1281.0,29.0,162.0,13.0,1,0,0,1,0,0,0,6,65,-1
261,287,0.0,28.0,0.0,0.0,587.0,32.0,6.0,1460.0,0,0,1,0,1,0,0,2,12,-1
262,288,0.0,19.0,0.0,0.0,0.0,0.0,0.0,828.0,1,0,0,1,0,0,1,6,55,-1
263,289,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,1,3,12,1
264,290,0.0,26.0,0.0,0.0,4458.0,0.0,1157.0,262.0,1,0,0,0,1,0,1,2,7,1
265,290,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,1,2,7,1
267,290,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,1,2,7,1
268,291,0.0,40.0,0.0,0.0,6500.0,88.0,1090.0,0.0,0,0,1,0,1,0,1,4,10,1
270,297,0.0,24.0,0.0,90.0,2.0,1324.0,17.0,0.0,0,0,1,1,0,0,0,7,47,1
271,298,1.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,1,3,1
273,302,0.0,23.0,0.0,0.0,0.0,15.0,0.0,1370.0,0,0,1,1,0,0,0,6,67,-1
275,304,0.0,28.0,0.0,0.0,422.0,0.0,1851.0,5166.0,0,0,1,0,1,0,1,5,18,-1
276,305,0.0,23.0,0.0,0.0,584.0,0.0,20.0,2469.0,1,0,0,0,1,0,0,3,7,-1
277,306,0.0,23.0,0.0,368.0,175.0,259.0,1.0,101.0,0,0,1,1,0,0,1,5,19,-1
278,307,0.0,18.0,0.0,0.0,0.0,1359.0,0.0,0.0,0,0,1,1,0,0,1,6,59,1
279,309,0.0,18.0,0.0,1194.0,0.0,157.0,6.0,0.0,0,0,1,1,0,0,1,6,60,-1
281,313,0.0,60.0,0.0,7.0,540.0,1.0,0.0,4.0,0,1,0,1,0,0,0,6,68,1
283,313,0.0,49.0,0.0,331.0,0.0,0.0,318.0,0.0,1,0,0,1,0,0,0,6,68,1
284,313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,7,50,1
285,314,0.0,26.0,0.0,386.0,0.0,74.0,0.0,1330.0,1,0,0,1,0,0,0,7,51,-1
292,322,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,7,45,-1
293,324,1.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,0,7,53,-1
294,326,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,1,7,47,-1
296,330,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,1,3,14,1
297,330,0.0,32.0,0.0,247.0,4651.0,0.0,46.0,202.0,0,0,1,0,1,0,1,3,14,1
298,330,0.0,33.0,0.0,443.0,317.0,0.0,148.0,1260.0,0,0,1,0,1,0,1,3,14,-1
299,331,0.0,25.0,0.0,0.0,0.0,251.0,0.0,552.0,0,0,1,1,0,0,0,6,72,-1
300,333,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,6,73,1
301,334,0.0,29.0,0.0,5715.0,2.0,211.0,1476.0,0.0,0,0,1,0,0,1,1,6,62,-1
302,336,0.0,44.0,0.0,695.0,1.0,16.0,0.0,0.0,0,0,1,1,0,0,0,6,74,-1
303,337,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,1,6,63,1
304,337,0.0,19.0,0.0,417.0,349.0,634.0,3.0,1057.0,0,0,1,0,0,1,1,6,63,1
305,337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,1,6,63,1
307,340,1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,1,2,10,1
308,341,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,7,57,-1
